step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,'C60351691','2','F','28007','M1823072687','28007','es_transportation',36.88,0
0,'C1038996959','2','M','28007','M348934600','28007','es_transportation',31.32,0
0,'C574062699','2','M','28007','M348934600','28007','es_transportation',43.75,0
0,'C83086349','6','M','28007','M1823072687','28007','es_transportation',14.2,0
0,'C759167881','2','F','28007','M348934600','28007','es_transportation',2.63,0
0,'C409331076','4','M','28007','M1823072687','28007','es_transportation',50.9,0
0,'C1229072215','3','M','28007','M348934600','28007','es_transportation',15.69,0
0,'C1070277785','4','F','28007','M348934600','28007','es_transportation',14.36,0
0,'C747590731','3','F','28007','M348934600','28007','es_transportation',0.1,0
0,'C1710930627','2','F','28007','M1823072687','28007','es_transportation',17.37,0
0,'C1680004438','2','F','28007','M348934600','28007','es_transportation',44.31,0
0,'C1457264318','3','F','28007','M1823072687','28007','es_transportation',9.17,0
0,'C951689990','3','F','28007','M348934600','28007','es_transportation',44.8,0
0,'C635222317','3','F','28007','M348934600','28007','es_transportation',54.83,0
0,'C826715503','5','M','28007','M348934600','28007','es_transportation',9.96,0
0,'C1557448880','4','M','28007','M348934600','28007','es_transportation',69.95,0
0,'C119537158','4','F','28007','M348934600','28007','es_transportation',34.73,0
0,'C607521473','2','M','28007','M348934600','28007','es_transportation',42.9,0
0,'C1181615831','3','M','28007','M17379832','28007','es_sportsandtoys',10.64,0
0,'C2129810887','4','F','28007','M1535107174','28007','es_wellnessandbeauty',140.48,0
0,'C875900250','4','M','28007','M348934600','28007','es_transportation',17.87,0
0,'C1878500339','2','F','28007','M348934600','28007','es_transportation',10.82,0
0,'C588937224','1','M','28007','M348934600','28007','es_transportation',30.37,0
0,'C1825851538','4','F','28007','M480139044','28007','es_health',55.82,0
0,'C413242191','4','F','28007','M348934600','28007','es_transportation',28.02,0
0,'C260437492','3','F','28007','M1823072687','28007','es_transportation',22.22,0
0,'C1018153896','3','F','28007','M348934600','28007','es_transportation',4.98,0
0,'C698318224','2','F','28007','M348934600','28007','es_transportation',25.72,0
0,'C267593624','1','F','28007','M348934600','28007','es_transportation',28.33,0
0,'C1612832553','1','F','28007','M1198415165','28007','es_wellnessandbeauty',58.17,0
0,'C936786093','5','F','28007','M348934600','28007','es_transportation',26.18,0
0,'C1564260047','3','F','28007','M348934600','28007','es_transportation',25.87,0
0,'C1280960686','2','M','28007','M348934600','28007','es_transportation',7.26,0
0,'C1763624260','6','F','28007','M348934600','28007','es_transportation',5.13,0
0,'C1289081546','4','F','28007','M348934600','28007','es_transportation',8.67,0
0,'C1968779147','5','M','28007','M1823072687','28007','es_transportation',0.99,0
0,'C814079066','1','F','28007','M348934600','28007','es_transportation',5.84,0
0,'C1864289868','4','F','28007','M348934600','28007','es_transportation',25.69,0
0,'C1819254965','6','M','28007','M348934600','28007','es_transportation',0.73,0
0,'C1731163929','2','F','28007','M1946091778','28007','es_wellnessandbeauty',32.51,0
0,'C481773197','4','F','28007','M348934600','28007','es_transportation',26.55,0
0,'C1530098029','3','F','28007','M348934600','28007','es_transportation',1.85,0
0,'C1687722078','2','M','28007','M348934600','28007','es_transportation',0.77,0
0,'C172921013','5','M','28007','M348934600','28007','es_transportation',24.68,0
0,'C1732307957','5','F','28007','M348934600','28007','es_transportation',55.06,0
0,'C2101882723','1','F','28007','M348934600','28007','es_transportation',9.18,0
0,'C1734585073','5','F','28007','M348934600','28007','es_transportation',34.02,0
0,'C5079947','3','F','28007','M348934600','28007','es_transportation',23.22,0
0,'C805469502','3','M','28007','M480139044','28007','es_health',74.93,0
0,'C352261908','6','M','28007','M348934600','28007','es_transportation',5.83,0
0,'C1553941793','1','F','28007','M348934600','28007','es_transportation',37.32,0
0,'C1750835738','5','F','28007','M151143676','28007','es_barsandrestaurants',13.56,0
0,'C56690195','2','M','28007','M1823072687','28007','es_transportation',40.57,0
0,'C34104097','1','F','28007','M348934600','28007','es_transportation',4.81,0
0,'C299357678','3','F','28007','M348934600','28007','es_transportation',1.55,0
0,'C20274793','3','F','28007','M1823072687','28007','es_transportation',63.82,0
0,'C803365419','1','F','28007','M1823072687','28007','es_transportation',7.8,0
0,'C2054233026','3','F','28007','M348934600','28007','es_transportation',26.26,0
0,'C260840933','2','M','28007','M348934600','28007','es_transportation',25.59,0
0,'C1431362064','1','F','28007','M85975013','28007','es_food',101.79,0
0,'C1476138873','5','F','28007','M348934600','28007','es_transportation',68.39,0
0,'C1791793827','4','M','28007','M348934600','28007','es_transportation',74.22,0
0,'C707755349','4','M','28007','M348934600','28007','es_transportation',22.25,0
